Year,Zip,Quantity
2017,60601,
2017,60602,
2017,60603,
2017,60604,
2017,60605,
2017,60606,
2017,60607,8
2017,60608,13
2017,60609,12
2017,60610,3
2017,60611,
2017,60612,11
2017,60613,2
2017,60614,5
2017,60615,4
2017,60616,9
2017,60617,10
2017,60618,9
2017,60619,16
2017,60620,6
2017,60621,6
2017,60622,12
2017,60623,20
2017,60624,13
2017,60625,10
2017,60626,3
2017,60627,0
2017,60628,7
2017,60629,38
2017,60630,
2017,60631,5
2017,60632,0
2017,60633,12
2017,60634,7
2017,60635,0
2017,60636,8
2017,60637,16
2017,60638,6
2017,60639,10
2017,60640,5
2017,60641,6
2017,60642,5
2017,60643,10
2017,60644,9
2017,60645,6
2017,60646,
2017,60647,18
2017,60648,
2017,60649,8
2017,60650,
2017,60651,5
2017,60652,6
2017,60653,5
2017,60654,
2017,60655,2
2017,60656,
2017,60657,2
2017,60659,7
2017,60660,3
2017,60661,
2017,60664,
2017,60666,
2017,60667,
2017,60668,
2017,60669,
2017,60670,
2017,60673,
2017,60674,
2017,60675,
2017,60677,
2017,60678,
2017,60680,
2017,60681,
2017,60682,
2017,60684,
2017,60685,
2017,60686,
2017,60687,
2017,60688,
2017,60689,
2017,60690,
2017,60691,
2017,60693,
2017,60694,
2017,60695,
2017,60696,
2017,60697,
2017,60699,
2017,60701,
2017,60706,
2017,60707,1
2017,60803,
2017,60804,1
2017,60805,
2017,60827,5
2018,60601,1
2018,60602,1
2018,60603,
2018,60604,
2018,60605,
2018,60606,
2018,60607,
2018,60608,13
2018,60609,5
2018,60610,1
2018,60611,
2018,60612,
2018,60613,4
2018,60614,2
2018,60615,2
2018,60616,7
2018,60617,2
2018,60618,1
2018,60619,4
2018,60620,10
2018,60621,3
2018,60622,8
2018,60623,7
2018,60624,6
2018,60625,3
2018,60626,
2018,60627,0
2018,60628,2
2018,60629,12
2018,60630,
2018,60631,
2018,60632,0
2018,60633,7
2018,60634,1
2018,60635,0
2018,60636,4
2018,60637,7
2018,60638,8
2018,60639,3
2018,60640,1
2018,60641,2
2018,60642,
2018,60643,3
2018,60644,2
2018,60645,2
2018,60646,
2018,60647,5
2018,60648,
2018,60649,2
2018,60650,
2018,60651,3
2018,60652,1
2018,60653,2
2018,60654,
2018,60655,1
2018,60656,
2018,60657,1
2018,60659,1
2018,60660,
2018,60661,
2018,60664,
2018,60666,
2018,60667,
2018,60668,
2018,60669,
2018,60670,
2018,60673,
2018,60674,
2018,60675,
2018,60677,
2018,60678,
2018,60680,
2018,60681,
2018,60682,
2018,60684,
2018,60685,
2018,60686,
2018,60687,
2018,60688,
2018,60689,
2018,60690,
2018,60691,
2018,60693,
2018,60694,
2018,60695,
2018,60696,
2018,60697,
2018,60699,
2018,60701,
2018,60706,
2018,60707,1
2018,60803,1
2018,60804,
2018,60805,
2018,60827,
2019,60601,
2019,60602,
2019,60603,
2019,60604,
2019,60605,
2019,60606,
2019,60607,
2019,60608,11
2019,60609,15
2019,60610,
2019,60611,
2019,60612,
2019,60613,
2019,60614,
2019,60615,8
2019,60616,7
2019,60617,15
2019,60618,
2019,60619,6
2019,60620,13
2019,60621,4
2019,60622,20
2019,60623,23
2019,60624,10
2019,60625,
2019,60626,
2019,60627,
2019,60628,10
2019,60629,18
2019,60630,
2019,60631,
2019,60632,22
2019,60633,
2019,60634,13
2019,60635,1
2019,60636,4
2019,60637,7
2019,60638,9
2019,60639,16
2019,60640,
2019,60641,7
2019,60642,
2019,60643,5
2019,60644,15
2019,60645,
2019,60646,
2019,60647,14
2019,60648,
2019,60649,6
2019,60650,
2019,60651,9
2019,60652,3
2019,60653,4
2019,60654,
2019,60655,
2019,60656,
2019,60657,
2019,60659,
2019,60660,
2019,60661,
2019,60664,
2019,60666,
2019,60667,
2019,60668,
2019,60669,
2019,60670,
2019,60673,
2019,60674,
2019,60675,
2019,60677,
2019,60678,
2019,60680,
2019,60681,
2019,60682,
2019,60684,
2019,60685,
2019,60686,
2019,60687,
2019,60688,
2019,60689,
2019,60690,
2019,60691,
2019,60693,
2019,60694,
2019,60695,
2019,60696,
2019,60697,
2019,60699,
2019,60701,
2019,60706,
2019,60707,
2019,60803,
2019,60804,
2019,60805,
2019,60827,
